age,job,marital,education,month,campaign,previous,poutcome,cons.conf.idx,euribor3m,nr.employed,y
56,housemaid,married,basic.4y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
57,services,married,high.school,may,1,0,nonexistent,-36.4,4.857,5191.0,no
37,services,married,high.school,may,1,0,nonexistent,-36.4,4.857,5191.0,no
40,admin.,married,basic.6y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
56,services,married,high.school,may,1,0,nonexistent,-36.4,4.857,5191.0,no
45,services,married,basic.9y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
59,admin.,married,professional.course,may,1,0,nonexistent,-36.4,4.857,5191.0,no
41,blue-collar,married,unknown,may,1,0,nonexistent,-36.4,4.857,5191.0,no
24,technician,single,professional.course,may,1,0,nonexistent,-36.4,4.857,5191.0,no
25,services,single,high.school,may,1,0,nonexistent,-36.4,4.857,5191.0,no
41,blue-collar,married,unknown,may,1,0,nonexistent,-36.4,4.857,5191.0,no
25,services,single,high.school,may,1,0,nonexistent,-36.4,4.857,5191.0,no
29,blue-collar,single,high.school,may,1,0,nonexistent,-36.4,4.857,5191.0,no
57,housemaid,divorced,basic.4y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
35,blue-collar,married,basic.6y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
54,retired,married,basic.9y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
35,blue-collar,married,basic.6y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
46,blue-collar,married,basic.6y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
50,blue-collar,married,basic.9y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
39,management,single,basic.9y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
30,unemployed,married,high.school,may,1,0,nonexistent,-36.4,4.857,5191.0,no
55,blue-collar,married,basic.4y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
55,retired,single,high.school,may,1,0,nonexistent,-36.4,4.857,5191.0,no
41,technician,single,high.school,may,1,0,nonexistent,-36.4,4.857,5191.0,no
37,admin.,married,high.school,may,1,0,nonexistent,-36.4,4.857,5191.0,no
35,technician,married,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
59,technician,married,unknown,may,1,0,nonexistent,-36.4,4.857,5191.0,no
39,self-employed,married,basic.9y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
54,technician,single,university.degree,may,2,0,nonexistent,-36.4,4.857,5191.0,no
55,unknown,married,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
46,admin.,married,unknown,may,1,0,nonexistent,-36.4,4.857,5191.0,no
59,technician,married,unknown,may,1,0,nonexistent,-36.4,4.857,5191.0,no
49,blue-collar,married,unknown,may,1,0,nonexistent,-36.4,4.857,5191.0,no
54,management,married,basic.4y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
54,blue-collar,divorced,basic.4y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
55,unknown,married,basic.4y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
34,services,married,high.school,may,1,0,nonexistent,-36.4,4.857,5191.0,no
52,technician,married,basic.9y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
41,admin.,married,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
56,technician,married,basic.4y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
58,management,unknown,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
32,entrepreneur,married,high.school,may,1,0,nonexistent,-36.4,4.857,5191.0,no
38,admin.,single,professional.course,may,1,0,nonexistent,-36.4,4.857,5191.0,no
57,admin.,married,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
44,admin.,married,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
42,technician,single,professional.course,may,1,0,nonexistent,-36.4,4.857,5191.0,no
57,admin.,married,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
40,blue-collar,married,basic.9y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
35,admin.,married,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
45,blue-collar,married,basic.9y,may,2,0,nonexistent,-36.4,4.857,5191.0,no
54,admin.,married,high.school,may,1,0,nonexistent,-36.4,4.857,5191.0,no
39,housemaid,married,basic.4y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
60,admin.,married,high.school,may,1,0,nonexistent,-36.4,4.857,5191.0,no
53,admin.,single,professional.course,may,1,0,nonexistent,-36.4,4.857,5191.0,no
55,blue-collar,married,basic.4y,may,2,0,nonexistent,-36.4,4.857,5191.0,no
55,technician,married,professional.course,may,1,0,nonexistent,-36.4,4.857,5191.0,no
50,management,married,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
45,services,married,high.school,may,1,0,nonexistent,-36.4,4.857,5191.0,no
55,unemployed,married,professional.course,may,1,0,nonexistent,-36.4,4.857,5191.0,no
25,technician,single,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
47,entrepreneur,married,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
51,blue-collar,married,basic.9y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
42,blue-collar,married,basic.6y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
42,blue-collar,married,basic.6y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
48,admin.,married,high.school,may,1,0,nonexistent,-36.4,4.857,5191.0,no
37,admin.,married,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
44,blue-collar,single,basic.9y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
33,admin.,married,unknown,may,1,0,nonexistent,-36.4,4.857,5191.0,no
56,admin.,married,basic.9y,may,2,0,nonexistent,-36.4,4.857,5191.0,no
44,blue-collar,single,basic.4y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
41,management,married,basic.6y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
44,management,divorced,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
47,admin.,married,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
57,unknown,married,unknown,may,1,0,nonexistent,-36.4,4.857,5191.0,no
37,admin.,married,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
41,blue-collar,divorced,basic.4y,may,1,0,nonexistent,-36.4,4.857,5191.0,yes
55,technician,married,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
33,services,married,high.school,may,2,0,nonexistent,-36.4,4.857,5191.0,no
55,management,married,unknown,may,1,0,nonexistent,-36.4,4.857,5191.0,no
42,blue-collar,married,basic.9y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
50,blue-collar,married,basic.4y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
51,blue-collar,married,basic.4y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
38,admin.,married,high.school,may,2,0,nonexistent,-36.4,4.857,5191.0,no
49,entrepreneur,married,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,yes
38,technician,single,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
31,admin.,divorced,high.school,may,1,0,nonexistent,-36.4,4.857,5191.0,no
41,management,married,basic.6y,may,2,0,nonexistent,-36.4,4.857,5191.0,no
39,admin.,married,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
49,technician,married,basic.9y,may,1,0,nonexistent,-36.4,4.857,5191.0,yes
34,admin.,married,high.school,may,2,0,nonexistent,-36.4,4.857,5191.0,no
35,admin.,married,university.degree,may,2,0,nonexistent,-36.4,4.857,5191.0,no
57,unknown,married,unknown,may,1,0,nonexistent,-36.4,4.857,5191.0,no
60,admin.,married,unknown,may,2,0,nonexistent,-36.4,4.857,5191.0,no
33,unemployed,married,basic.9y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
42,blue-collar,married,basic.6y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
45,services,married,professional.course,may,1,0,nonexistent,-36.4,4.857,5191.0,no
42,management,married,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
53,admin.,divorced,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
37,technician,single,professional.course,may,1,0,nonexistent,-36.4,4.857,5191.0,no
44,blue-collar,married,basic.6y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
54,services,married,unknown,may,1,0,nonexistent,-36.4,4.857,5191.0,no
49,blue-collar,married,basic.4y,may,3,0,nonexistent,-36.4,4.857,5191.0,no
54,services,married,unknown,may,1,0,nonexistent,-36.4,4.857,5191.0,no
52,admin.,divorced,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
52,admin.,divorced,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
43,services,single,high.school,may,1,0,nonexistent,-36.4,4.857,5191.0,no
34,housemaid,married,basic.6y,may,2,0,nonexistent,-36.4,4.857,5191.0,no
35,admin.,married,high.school,may,2,0,nonexistent,-36.4,4.857,5191.0,no
42,entrepreneur,married,unknown,may,1,0,nonexistent,-36.4,4.857,5191.0,no
43,technician,married,unknown,may,1,0,nonexistent,-36.4,4.857,5191.0,no
60,retired,divorced,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
58,unemployed,married,basic.4y,may,2,0,nonexistent,-36.4,4.857,5191.0,no
35,services,divorced,high.school,may,1,0,nonexistent,-36.4,4.857,5191.0,no
55,blue-collar,married,basic.9y,may,2,0,nonexistent,-36.4,4.857,5191.0,no
37,management,married,university.degree,may,2,0,nonexistent,-36.4,4.857,5191.0,no
36,blue-collar,married,high.school,may,1,0,nonexistent,-36.4,4.857,5191.0,no
52,admin.,divorced,university.degree,may,2,0,nonexistent,-36.4,4.857,5191.0,no
57,blue-collar,divorced,unknown,may,1,0,nonexistent,-36.4,4.857,5191.0,no
56,admin.,married,unknown,may,1,0,nonexistent,-36.4,4.857,5191.0,no
48,blue-collar,divorced,basic.4y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
40,blue-collar,married,high.school,may,1,0,nonexistent,-36.4,4.857,5191.0,no
49,blue-collar,divorced,high.school,may,1,0,nonexistent,-36.4,4.857,5191.0,no
41,services,married,high.school,may,1,0,nonexistent,-36.4,4.857,5191.0,no
45,technician,married,high.school,may,1,0,nonexistent,-36.4,4.857,5191.0,no
32,admin.,married,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
42,admin.,married,university.degree,may,2,0,nonexistent,-36.4,4.857,5191.0,no
50,admin.,married,basic.6y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
31,technician,divorced,professional.course,may,1,0,nonexistent,-36.4,4.857,5191.0,no
56,retired,married,basic.4y,may,2,0,nonexistent,-36.4,4.857,5191.0,no
41,technician,married,professional.course,may,1,0,nonexistent,-36.4,4.857,5191.0,yes
37,blue-collar,married,basic.6y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
41,technician,married,professional.course,may,1,0,nonexistent,-36.4,4.857,5191.0,no
35,blue-collar,married,unknown,may,1,0,nonexistent,-36.4,4.857,5191.0,no
37,blue-collar,married,basic.6y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
52,management,married,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
39,management,divorced,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
39,housemaid,married,basic.4y,may,2,0,nonexistent,-36.4,4.857,5191.0,no
56,blue-collar,married,basic.4y,may,2,0,nonexistent,-36.4,4.857,5191.0,no
34,services,married,high.school,may,2,0,nonexistent,-36.4,4.857,5191.0,no
45,blue-collar,married,basic.9y,may,1,0,nonexistent,-36.4,4.857,5191.0,yes
43,unemployed,single,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
56,management,married,unknown,may,1,0,nonexistent,-36.4,4.857,5191.0,no
39,management,married,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
53,blue-collar,married,basic.4y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
38,unknown,divorced,high.school,may,1,0,nonexistent,-36.4,4.857,5191.0,no
42,blue-collar,married,basic.4y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
42,blue-collar,married,basic.4y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
35,admin.,single,high.school,may,1,0,nonexistent,-36.4,4.857,5191.0,no
40,admin.,married,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
51,blue-collar,married,basic.4y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
60,blue-collar,married,basic.9y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
56,entrepreneur,married,unknown,may,1,0,nonexistent,-36.4,4.857,5191.0,no
39,services,divorced,high.school,may,1,0,nonexistent,-36.4,4.857,5191.0,no
56,entrepreneur,married,unknown,may,1,0,nonexistent,-36.4,4.857,5191.0,no
40,blue-collar,married,unknown,may,1,0,nonexistent,-36.4,4.857,5191.0,no
36,blue-collar,married,basic.9y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
51,blue-collar,married,unknown,may,1,0,nonexistent,-36.4,4.857,5191.0,no
51,blue-collar,married,unknown,may,1,0,nonexistent,-36.4,4.857,5191.0,no
43,technician,single,professional.course,may,2,0,nonexistent,-36.4,4.857,5191.0,no
59,services,married,high.school,may,2,0,nonexistent,-36.4,4.857,5191.0,no
24,management,single,university.degree,may,2,0,nonexistent,-36.4,4.857,5191.0,no
37,blue-collar,single,basic.9y,may,2,0,nonexistent,-36.4,4.857,5191.0,no
40,blue-collar,married,basic.9y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
42,blue-collar,married,basic.9y,may,3,0,nonexistent,-36.4,4.857,5191.0,no
39,services,divorced,high.school,may,1,0,nonexistent,-36.4,4.857,5191.0,no
37,entrepreneur,married,basic.6y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
38,services,married,high.school,may,1,0,nonexistent,-36.4,4.857,5191.0,no
56,admin.,divorced,unknown,may,2,0,nonexistent,-36.4,4.857,5191.0,no
40,blue-collar,married,unknown,may,2,0,nonexistent,-36.4,4.857,5191.0,no
54,management,divorced,university.degree,may,2,0,nonexistent,-36.4,4.857,5191.0,no
43,blue-collar,married,high.school,may,1,0,nonexistent,-36.4,4.857,5191.0,no
36,services,married,high.school,may,1,0,nonexistent,-36.4,4.857,5191.0,no
45,technician,married,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
42,admin.,single,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
43,services,married,high.school,may,3,0,nonexistent,-36.4,4.857,5191.0,no
46,management,married,basic.9y,may,2,0,nonexistent,-36.4,4.857,5191.0,no
44,services,married,high.school,may,1,0,nonexistent,-36.4,4.857,5191.0,no
51,admin.,single,basic.6y,may,2,0,nonexistent,-36.4,4.857,5191.0,no
28,services,married,high.school,may,1,0,nonexistent,-36.4,4.857,5191.0,no
37,blue-collar,married,basic.9y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
34,technician,married,high.school,may,1,0,nonexistent,-36.4,4.857,5191.0,no
46,blue-collar,married,basic.6y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
42,blue-collar,married,basic.9y,may,2,0,nonexistent,-36.4,4.857,5191.0,yes
36,admin.,married,university.degree,may,3,0,nonexistent,-36.4,4.857,5191.0,no
54,blue-collar,married,basic.4y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
57,management,married,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
51,technician,married,basic.6y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
54,retired,married,high.school,may,1,0,nonexistent,-36.4,4.857,5191.0,no
49,blue-collar,married,basic.4y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
34,admin.,married,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
41,technician,married,professional.course,may,1,0,nonexistent,-36.4,4.857,5191.0,no
38,blue-collar,single,basic.9y,may,2,0,nonexistent,-36.4,4.857,5191.0,no
45,management,divorced,university.degree,may,2,0,nonexistent,-36.4,4.857,5191.0,no
42,technician,married,university.degree,may,2,0,nonexistent,-36.4,4.857,5191.0,no
34,blue-collar,single,basic.9y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
48,blue-collar,married,basic.4y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
37,admin.,married,high.school,may,1,0,nonexistent,-36.4,4.857,5191.0,no
34,blue-collar,single,basic.9y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
40,admin.,married,basic.9y,may,2,0,nonexistent,-36.4,4.857,5191.0,no
43,blue-collar,married,basic.6y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
33,services,married,high.school,may,2,0,nonexistent,-36.4,4.857,5191.0,no
32,services,single,basic.6y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
39,blue-collar,married,high.school,may,2,0,nonexistent,-36.4,4.857,5191.0,no
43,admin.,married,unknown,may,1,0,nonexistent,-36.4,4.857,5191.0,no
44,blue-collar,married,basic.9y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
35,student,single,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
35,student,single,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
35,unemployed,married,professional.course,may,1,0,nonexistent,-36.4,4.857,5191.0,no
36,services,single,basic.4y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
35,student,single,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
36,student,single,basic.9y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
55,housemaid,divorced,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
59,admin.,married,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
57,retired,married,unknown,may,2,0,nonexistent,-36.4,4.857,5191.0,no
39,blue-collar,married,professional.course,may,1,0,nonexistent,-36.4,4.857,5191.0,no
39,housemaid,married,basic.4y,may,2,0,nonexistent,-36.4,4.857,5191.0,no
30,blue-collar,single,unknown,may,1,0,nonexistent,-36.4,4.857,5191.0,no
30,blue-collar,single,unknown,may,1,0,nonexistent,-36.4,4.857,5191.0,no
50,housemaid,married,basic.4y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
40,services,married,high.school,may,3,0,nonexistent,-36.4,4.857,5191.0,no
35,admin.,married,high.school,may,2,0,nonexistent,-36.4,4.857,5191.0,no
43,technician,married,unknown,may,2,0,nonexistent,-36.4,4.857,5191.0,no
36,services,single,basic.6y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
46,technician,married,basic.4y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
40,technician,married,basic.9y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
58,retired,married,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
42,technician,married,university.degree,may,2,0,nonexistent,-36.4,4.857,5191.0,no
35,admin.,single,university.degree,may,2,0,nonexistent,-36.4,4.857,5191.0,no
43,retired,married,basic.4y,may,3,0,nonexistent,-36.4,4.857,5191.0,no
45,blue-collar,married,basic.4y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
39,admin.,married,professional.course,may,2,0,nonexistent,-36.4,4.857,5191.0,no
50,services,divorced,professional.course,may,1,0,nonexistent,-36.4,4.857,5191.0,no
32,management,divorced,basic.4y,may,2,0,nonexistent,-36.4,4.857,5191.0,no
39,admin.,married,high.school,may,1,0,nonexistent,-36.4,4.857,5191.0,no
52,self-employed,married,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
44,admin.,married,professional.course,may,1,0,nonexistent,-36.4,4.857,5191.0,no
56,blue-collar,married,basic.4y,may,1,0,nonexistent,-36.4,4.857,5191.0,no
48,admin.,married,high.school,may,2,0,nonexistent,-36.4,4.857,5191.0,no
33,services,married,high.school,may,2,0,nonexistent,-36.4,4.857,5191.0,no
43,management,married,university.degree,may,3,0,nonexistent,-36.4,4.857,5191.0,no
57,retired,married,high.school,may,2,0,nonexistent,-36.4,4.857,5191.0,no
36,technician,single,professional.course,may,1,0,nonexistent,-36.4,4.857,5191.0,no
34,management,married,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
34,services,single,basic.9y,may,2,0,nonexistent,-36.4,4.857,5191.0,no
30,technician,married,university.degree,may,1,0,nonexistent,-36.4,4.857,5191.0,no
33,services,divorced,unknown,may,2,0,nonexistent,-36.4,4.857,5191.0,no
32,technician,single,professional.course,may,1,0,nonexistent,-36.4,4.857,5191.0,no
36,technician,single,high.school,may,2,0,nonexistent,-36.4,4.857,5191.0,no
