age,job,marital,education,month,campaign,previous,poutcome,cons.conf.idx,euribor3m,nr.employed,y
34,services,married,professional.course,aug,2,0,nonexistent,-36.1,4.966,5228.1,no
59,retired,married,unknown,aug,2,0,nonexistent,-31.4,0.825,5076.2,no
43,admin.,married,high.school,may,2,0,nonexistent,-36.4,4.856,5191.0,no
38,entrepreneur,married,professional.course,jun,2,1,failure,-40.8,1.262,5076.2,no
31,blue-collar,married,basic.6y,jul,2,0,nonexistent,-42.7,4.963,5228.1,no
31,technician,married,university.degree,aug,2,0,nonexistent,-36.1,4.964,5228.1,no
39,services,divorced,high.school,may,2,0,nonexistent,-36.4,4.855,5191.0,no
28,student,married,university.degree,may,2,0,nonexistent,-36.4,4.855,5191.0,no
28,admin.,single,university.degree,aug,1,0,nonexistent,-31.4,0.879,5076.2,no
45,admin.,married,high.school,jun,2,0,nonexistent,-41.8,4.961,5228.1,no
47,blue-collar,married,basic.9y,may,2,0,nonexistent,-36.4,4.859,5191.0,no
55,entrepreneur,married,professional.course,oct,1,2,failure,-26.9,0.739,5017.5,no
25,unemployed,married,high.school,jun,2,0,nonexistent,-40.8,1.26,5076.2,no
47,admin.,divorced,university.degree,aug,3,0,nonexistent,-36.1,4.964,5228.1,no
47,blue-collar,single,basic.9y,may,1,0,nonexistent,-36.4,4.86,5191.0,no
56,blue-collar,divorced,basic.4y,aug,1,4,failure,-38.3,0.904,4991.6,no
30,admin.,married,high.school,aug,3,0,nonexistent,-36.1,4.968,5228.1,no
36,entrepreneur,married,university.degree,jun,1,0,nonexistent,-41.8,4.864,5228.1,no
32,admin.,married,university.degree,jun,1,0,nonexistent,-40.8,1.262,5076.2,no
33,admin.,married,university.degree,nov,1,0,nonexistent,-42.0,4.076,5195.8,no
36,blue-collar,married,basic.9y,may,2,0,nonexistent,-36.4,4.86,5191.0,no
58,retired,divorced,university.degree,may,1,0,nonexistent,-36.4,4.855,5191.0,no
36,blue-collar,married,basic.9y,may,1,0,nonexistent,-46.2,1.334,5099.1,no
27,unknown,single,high.school,may,1,1,failure,-46.2,1.299,5099.1,no
30,admin.,single,high.school,may,1,1,failure,-40.0,0.682,5008.7,no
56,blue-collar,single,basic.4y,jul,1,0,nonexistent,-42.7,4.96,5228.1,no
40,services,married,high.school,apr,2,0,nonexistent,-47.1,1.479,5099.1,no
55,admin.,married,university.degree,aug,1,0,nonexistent,-36.1,4.967,5228.1,no
32,admin.,divorced,high.school,may,1,0,nonexistent,-46.2,1.344,5099.1,no
47,admin.,divorced,university.degree,aug,2,0,nonexistent,-36.1,4.964,5228.1,no
28,services,married,unknown,may,2,0,nonexistent,-36.4,4.859,5191.0,no
26,blue-collar,single,high.school,jul,1,0,nonexistent,-42.7,4.957,5228.1,no
38,services,divorced,high.school,apr,2,1,failure,-47.1,1.453,5099.1,no
39,admin.,married,high.school,mar,1,1,failure,-50.0,1.51,5099.1,no
35,services,single,high.school,may,1,1,failure,-46.2,1.327,5099.1,no
36,services,single,high.school,jul,2,0,nonexistent,-42.7,4.963,5228.1,no
35,self-employed,married,professional.course,nov,1,1,failure,-42.0,4.153,5195.8,no
53,blue-collar,divorced,basic.9y,may,3,0,nonexistent,-46.2,1.25,5099.1,no
26,blue-collar,married,basic.9y,jul,1,0,nonexistent,-42.7,4.957,5228.1,no
31,admin.,single,high.school,jun,3,0,nonexistent,-40.8,1.26,5076.2,no
35,blue-collar,married,basic.4y,may,1,1,failure,-46.2,1.327,5099.1,no
41,technician,married,professional.course,may,1,0,nonexistent,-36.4,4.856,5191.0,no
56,services,married,high.school,may,1,0,nonexistent,-46.2,1.25,5099.1,no
54,entrepreneur,married,professional.course,nov,1,0,nonexistent,-42.0,4.153,5195.8,no
47,entrepreneur,married,university.degree,may,2,0,nonexistent,-46.2,1.25,5099.1,no
54,technician,married,university.degree,jun,2,0,nonexistent,-41.8,4.967,5228.1,no
44,blue-collar,married,basic.9y,may,3,0,nonexistent,-36.4,4.856,5191.0,no
37,admin.,married,high.school,jun,2,0,nonexistent,-40.8,1.262,5076.2,no
45,housemaid,single,basic.4y,sep,1,0,nonexistent,-29.8,0.797,5017.5,no
49,services,married,basic.4y,aug,1,0,nonexistent,-36.1,4.963,5228.1,no
46,services,married,unknown,aug,1,0,nonexistent,-36.1,4.964,5228.1,no
22,services,single,professional.course,jul,3,1,failure,-40.3,0.835,4991.6,no
32,unemployed,married,basic.9y,jun,2,0,nonexistent,-41.8,4.96,5228.1,no
30,technician,single,professional.course,jun,1,0,nonexistent,-41.8,4.866,5228.1,no
47,admin.,married,university.degree,jul,3,0,nonexistent,-42.7,4.96,5228.1,no
29,blue-collar,married,professional.course,jun,3,0,nonexistent,-41.8,4.962,5228.1,no
44,management,married,university.degree,sep,1,2,failure,-37.5,0.88,4963.6,no
40,entrepreneur,married,university.degree,may,2,0,nonexistent,-36.4,4.856,5191.0,no
54,admin.,married,university.degree,may,1,0,nonexistent,-36.4,4.855,5191.0,no
40,admin.,married,university.degree,aug,1,0,nonexistent,-36.1,4.963,5228.1,no
48,management,married,university.degree,nov,1,1,success,-42.0,4.191,5195.8,no
25,student,single,high.school,may,2,0,nonexistent,-46.2,1.299,5099.1,no
48,admin.,married,university.degree,dec,2,0,nonexistent,-33.0,0.717,5023.5,no
